DATE,AvgTemp
2016-07-05,47.0
2016-07-06,47.0
2016-07-07,52.0
2016-07-08,52.0
2016-07-09,49.0
2016-07-10,45.0
2016-07-11,43.0
2016-07-12,45.0
2016-07-13,45.0
2016-07-14,48.0
2016-07-15,50.0
2016-07-16,48.0
2016-07-17,47.0
2016-07-18,44.0
2016-07-19,45.0
2016-07-20,48.0
2016-07-21,52.0
2016-07-22,49.0
2016-07-23,48.0
2016-07-24,48.0
2016-07-25,50.0
2016-07-26,50.0
2016-07-27,48.0
2016-07-28,49.0
2016-07-29,48.0
2016-07-30,48.0
2016-07-31,48.0
2016-08-01,49.0
2016-08-02,49.0
2016-08-03,47.0
2016-08-04,49.0
2016-08-05,52.0
2016-08-06,48.0
2016-08-07,49.0
2016-08-08,51.0
2016-08-09,50.0
2016-08-10,52.0
2016-08-11,51.0
2016-08-12,53.0
2016-08-13,48.0
2016-08-14,48.0
2016-08-15,48.0
2016-08-16,48.0
2016-08-17,50.0
2016-08-18,51.0
2016-08-19,50.0
2016-08-20,48.0
2016-08-21,47.0
2016-08-22,47.0
2016-08-23,48.0
2016-08-24,47.0
2016-08-25,48.0
2016-08-26,50.0
2016-08-27,46.0
2016-08-28,44.0
2016-08-29,44.0
2016-08-30,48.0
2016-08-31,46.0
2016-09-01,47.0
2016-09-02,50.0
2016-09-03,47.0
2016-09-04,47.0
2016-09-05,48.0
2016-09-06,49.0
2016-09-07,46.0
2016-09-08,44.0
2016-09-09,47.0
2016-09-10,48.0
2016-09-11,47.0
2016-09-12,50.0
2016-09-13,50.0
2016-09-14,46.0
2016-09-15,42.0
2016-09-16,47.0
2016-09-17,49.0
2016-09-18,49.0
2016-09-19,51.0
2016-09-20,51.0
2016-09-21,52.0
2016-09-22,48.0
2016-09-23,48.0
2016-09-24,47.0
2016-09-25,47.0
2016-09-26,50.0
2016-09-27,44.0
2016-09-28,45.0
2016-09-29,48.0
2016-09-30,49.0
2016-10-01,48.0
2016-10-02,46.0
2016-10-03,44.0
2016-10-04,46.0
2016-10-05,45.0
2016-10-06,44.0
2016-10-07,44.0
2016-10-08,45.0
2016-10-09,45.0
2016-10-10,49.0
2016-10-11,48.0
2016-10-12,51.0
2016-10-13,52.0
2016-10-14,54.0
2016-10-15,55.0
2016-10-16,49.0
2016-10-17,49.0
2016-10-18,48.0
2016-10-19,48.0
2016-10-20,45.0
2016-10-21,47.0
2016-10-22,47.0
2016-10-23,52.0
2016-10-24,52.0
2016-10-25,47.0
2016-10-26,50.0
2016-10-27,49.0
2016-10-28,48.0
2016-10-29,46.0
2016-10-30,47.0
2016-10-31,48.0
2016-11-01,49.0
2016-11-02,48.0
2016-11-03,51.0
2016-11-04,49.0
2016-11-05,50.0
2016-11-06,49.0
2016-11-07,47.0
2016-11-08,46.0
2016-11-09,48.0
2016-11-10,49.0
2016-11-11,47.0
2016-11-12,45.0
2016-11-13,48.0
2016-11-14,49.0
2016-11-15,48.0
2016-11-16,48.0
2016-11-17,48.0
2016-11-18,49.0
2016-11-19,50.0
2016-11-20,48.0
2016-11-21,46.0
2016-11-22,44.0
2016-11-23,49.0
2016-11-24,47.0
2016-11-25,48.0
2016-11-26,50.0
2016-11-27,49.0
2016-11-28,46.0
2016-11-29,45.0
2016-11-30,40.0
2016-12-01,34.0
2016-12-02,35.0
2016-12-03,40.0
2016-12-04,41.0
2016-12-05,47.0
2016-12-06,46.0
2016-12-07,43.0
2016-12-08,46.0
2016-12-09,45.0
2016-12-10,41.0
2016-12-11,44.0
2016-12-12,43.0
2016-12-13,42.0
2016-12-14,45.0
2016-12-15,44.0
2016-12-16,39.0
2016-12-17,42.0
2016-12-18,37.0
2016-12-19,44.0
2016-12-20,45.0
2016-12-21,45.0
2016-12-22,47.0
2016-12-23,47.0
2016-12-24,47.0
2016-12-25,42.0
2016-12-26,42.0
2016-12-27,44.0
2016-12-28,43.0
2016-12-29,37.0
2016-12-30,39.0
2016-12-31,38.0
2017-01-01,39.0
2017-01-02,43.0
2017-01-03,43.0
2017-01-04,42.0
2017-01-05,40.0
2017-01-06,41.0
2017-01-07,41.0
2017-01-08,43.0
2017-01-09,47.0
2017-01-10,45.0
2017-01-11,42.0
2017-01-12,39.0
2017-01-13,43.0
2017-01-14,44.0
2017-01-15,45.0
2017-01-16,45.0
2017-01-17,47.0
2017-01-18,46.0
2017-01-19,50.0
